SITE,SNCSadj,SUBAREA,CHAN,UNIT,CHANWID,uparea,elev,grad,discharge,width,depth,sinu,val_width,fp_width,flowvel,bf_flow,strmpow,vwi,valcnstrnt,gp_warm,gp_cool,gp_avg,rsf,count1k,count5k,count10k,sub1k,sub5k,sub10k,SUBCAT,TR,ME,BA,BK
SF10,0,96.9,main,pool,21.6,498.85,233.8,3.00E-03,0.36,2.34,0.79,1.05,267.94,86.5,1.11,2.08,61.23,114.4,36.96,4.83,3.39,4.11,0.02,6,11,19,1029.59,1446.09,3073.55,MEDIUM,1,1,0,0
SF11,7,292.6,main,pool,15.8,498.91,233.1,6.00E-03,0.36,2.33,0.79,1.06,185.26,70.38,1.57,2.93,172.66,79.3,30.12,4.83,3.39,4.11,0.03,5,10,19,862.4,1326.09,3073.55,LARGE,1,1,0,0
SF12,68,140.4,main,pool,12.1,499.08,233.14,0,0.36,2.33,0.79,1.06,76.04,55.95,0.64,1.2,1.17,32.5,23.91,4.83,3.39,4.11,0.03,4,10,19,767.4,1326.09,3073.55,MEDIUM,1,1,0,0
SF13,17,237.5,main,pool,17.4,499.1,232.23,0,0.36,2.35,0.79,1.05,141.78,110.83,0.64,1.21,1.18,60.27,47.11,4.83,3.39,4.11,0.03,5,10,19,862.4,1326.09,3073.55,LARGE,1,1,0,0
SF14,55,66.5,main,pool,14.2,499.64,231.3,0,0.35,2.33,0.79,1.02,172.18,62.86,0.64,1.19,1.17,73.87,26.97,4.83,3.39,4.11,0.03,1,8,21,66.5,1186.09,3465.55,MEDIUM,1,1,0,0
SF15,6,90,main,pool,13,524.08,224.7,2.00E-03,0.36,2.34,0.8,1.11,358.53,350.85,0.91,1.72,33.8,153.13,149.61,4.78,3.5,4.14,0.03,1,6,18,90,1512.44,3597.55,MEDIUM,1,1,0,0
SF16,84,48.45,main,pool,16.2,588.9,222.45,0,0.37,2.37,0.83,1.11,971.92,653.42,0.65,1.3,1.28,409.35,275.16,5.3,3.88,4.59,0.03,1,7,16,48.45,1837.94,3424.55,SMALL,1,1,0,0
SF17,16,144,main,pool,13.6,589.91,221,0,0.37,2.37,0.83,1.13,118.92,118.92,0.65,1.3,1.28,50.09,50.1,5.3,3.88,4.59,0.03,2,7,16,191.5,1837.94,3385.55,MEDIUM,1,1,0,0
SF18,13,47.5,main,pool,15.7,590.86,219.76,1.00E-03,0.37,2.38,0.83,1.06,179.56,179.56,0.65,1.31,12.88,75.31,75.41,5.3,3.88,4.59,0.03,3,8,14,1307.5,2271.44,3123.35,SMALL,1,1,0,0
SF19,100,1116,main,pool,18.9,592.54,219.6,2.00E-03,0.37,2.37,0.83,1.14,757.7,578.05,0.93,1.85,36.27,318.94,243.58,5.3,3.88,4.59,0.03,2,8,14,1163.5,2271.44,3123.35,LARGE,0,1,0,0
SF22,1,433.5,main,pool,25.9,609.78,212.96,0,0.37,2.37,0.84,1.04,96.17,96.17,0.66,1.32,1.29,40.56,40.56,5.28,3.84,4.56,0.04,1,6,12,433.5,2007,3021.25,LARGE,0,1,0,0
SF23,7,18,main,pool,14,612.44,210.3,1.00E-03,0.37,2.37,0.84,1.13,76.43,72.31,0.66,1.32,12.99,32.2,30.46,5.28,3.84,4.56,0.03,1,3,19,18,789.9,5016.29,SMALL,1,1,0,0
SF24,16,338.4,main,pool,20,635.34,205.2,0,0.37,2.38,0.85,1.16,177.81,177.81,0.66,1.35,1.32,74.62,74.64,4.91,3.45,4.18,0.04,1,6,35,338.39,1226.8,10821.85,LARGE,1,1,0,0
SF25,15,280,main,pool,17.2,638.93,203.1,5.00E-03,0.37,2.37,0.85,1.12,127.77,127.77,1.48,3.02,148.15,53.7,53.7,4.91,3.45,4.18,0.03,2,8,34,393.39,1739.8,10709.65,LARGE,1,1,0,0
SF26,0,113.4,main,pool,16.9,638.94,202.8,3.00E-03,0.37,2.37,0.85,1.04,125.28,125.28,1.15,2.34,68.8,52.68,52.69,4.91,3.45,4.18,0.03,2,8,34,393.39,1739.8,10709.65,MEDIUM,1,1,0,0
SF27,20,338.4,main,pool,25.5,640.9,199.87,1.00E-03,0.37,2.38,0.85,1.17,192.31,132.21,0.66,1.35,13.27,80.76,55.37,4.91,3.45,4.18,0.03,2,14,31,477,3795.19,9415.35,LARGE,1,1,0,0
SF28,28,138.6,main,pool,16,640.92,199.6,0,0.37,2.37,0.85,1.12,328.65,328.45,0.66,1.34,1.32,138.61,138.71,4.91,3.45,4.18,0.04,2,14,31,477,3795.19,9415.35,MEDIUM,1,0,0,0
SF29,4,112.5,main,pool,17,645.44,196.41,1.00E-03,0.37,2.37,0.85,1.03,206.19,174.95,0.66,1.35,13.24,86.93,73.77,5.26,3.74,4.5,0.03,3,17,32,531,5057.79,9434.1,MEDIUM,1,0,0,0
SF30,49,195.3,main,pool,26.5,645.71,195.5,0,0.37,2.37,0.85,1.21,643.55,168.37,0.66,1.35,1.32,270.98,70.96,5.26,3.74,4.5,0.04,3,17,32,531,5057.79,9434.1,LARGE,1,1,0,0
SF31,43,223.2,main,pool,14.2,645.72,195.5,0,0.37,2.37,0.85,1.09,323.59,177.77,0.66,1.35,1.32,136.41,74.88,5.26,3.74,4.5,0.03,3,18,31,531,5236,9416.1,LARGE,1,1,0,0
SF32,54,120,main,pool,14.8,651.42,194.71,0,0.37,2.38,0.85,1.1,210.52,144.7,0.66,1.36,1.33,88.26,60.71,5.36,3.82,4.59,0.02,6,19,31,2055.39,6480,9416.1,MEDIUM,1,1,0,0
